nodeId,name,email,mobileNo,costperhour,nodeType,pid1,pid2,pid3,role,pid4,pid5,exp,w1,w2,w3,a1,a2
501,leelakrishna,leela@gmail.com,9191919191,12,serviceProvider,601,602,603,801,604,605,2,310,null,null,null,null
502,ramya,ramya@gmail.com,9191919191,13,serviceProvider,601,602,603,801,604,605,1,310,null,null,null,null
503,mansi,mansi@gmail.com,9191919191,14,serviceProvider,616,617,618,806,633,634,2,301,306,null,null,null
504,jyotishree,jyotishree@gmail.com,9191919191,13,serviceProvider,616,617,618,806,608,609,1,301,306,null,null,null
505,ankita,ankita@gmail.com,9191919191,12,serviceProvider,616,617,618,806,613,614,1,301,null,null,329,null
506,manish,manish@gmail.com,9191919191,15,serviceProvider,615,616,617,806,618,619,3,306,null,null,null,null
507,sruthi,sruthi@gmail.com,9191919191,12,serviceProvider,601,602,603,801,622,623,1,310,null,null,null,null
508,aditya,aditya@gmail.com,9191919191,13,serviceProvider,601,602,603,801,628,629,2,null,null,null,310,null
509,megha,megha@gmail.com,9191919191,15,serviceProvider,604,605,606,802,633,634,1,307,310,null,null,null
510,kirtika,kirtika@gamil.com,9191919191,10,serviceProvider,604,605,606,802,638,639,1,310,null,null,null,null
511,shiv,shiv@gmail.com,9191919191,12,serviceProvider,601,602,606,802,604,605,1,307,null,null,null,null
512,indira,indira@gmail.com,9191919191,11,serviceProvider,604,605,606,802,609,610,1,307,310,null,null,null
513,naveen,naveen@gmail.com,9191919191,14,serviceProvider,611,612,610,804,614,615,1,309,307,null,null,null
514,shailesh,shailesh@gmail.com,9191919191,14,serviceProvider,610,611,612,804,619,620,1,309,null,null,null,null
515,pushkar,pushkar@gamil.com,9191919191,12,serviceProvider,610,611,612,804,623,624,1,307,null,null,null,null
516,raju,raju@gmail.com,9191919191,12,serviceProvider,610,611,612,804,629,630,1,309,null,null,null,null
517,sushree,sushree@gamil.com,9191919191,13,serviceProvider,607,608,609,803,634,635,1,307,309,310,null,null
518,aniket,aniket@gmail.com,9191919191,14,serviceProvider,607,608,609,803,639,640,2,307,null,null,null,null
519,vijay,vijay@gmail.com,9191919191,15,serviceProvider,607,608,609,803,604,605,1,309,null,null,null,null
520,rakesh,rakesh@gmail.com,9191919191,12,serviceProvider,606,607,608,803,609,610,1,310,309,null,null,null
